path,finding_domains,layer,context,classification_confidence,overall_change_likelihood,pii_matches,pqc_findings,dependency_reference_count,dependency_packages,dependency_categories,likely_change_target,recommended_change_action,complexity_rating,complexity_score,pqc_complexity_rating,pqc_complexity_score,notes
E:\codex\work\migration\sample_code\backend\native-c\aws_cloudhsm_pkcs11_client.c,pqc,backend,backend,0.7,high,0,12,3,cloudhsm_pkcs11.h | pkcs11.h | sign_with_cloudhsm,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,51.0,Dependency enrichment found 3 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\native-c\ciphertrust_cadp_capi_aes_gcm.c,pqc,backend,backend,0.7,high,0,10,4,cadp_capi.h | encrypt_with_ciphertrust_capi | stdio.h | string.h,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,46.5,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\native-c\ciphertrust_cadp_pkcs11_signer.c,pqc,backend,backend,0.7,high,0,12,3,cadp/cadp.h | ciphertrust_cadp_pkcs11_signer | pkcs11.h,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,51.0,Dependency enrichment found 3 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\native-c\ciphertrust_kmip_aes_gcm_client.c,pqc,backend,backend,0.8,high,0,7,4,kmip.h | register_kmip_key_and_encrypt | stdio.h | string.h,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,33.0,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\native-c\ciphertrust_pkcs11_client.c,pqc,backend,backend,0.7,high,0,11,3,cadp/cadp.h | pkcs11.h | sign_with_ciphertrust_slot,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,46.5,Dependency enrichment found 3 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\native-c\openssl_certificate_reader.c,pqc,backend,backend,0.7,high,0,6,3,PEM_read_X509 | openssl/pem.h | openssl/x509.h,CERTIFICATE_USAGE,True,review_pqc_certificate_lifecycle,,,high,36.0,Dependency enrichment found 3 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\native-c\openssl_signing_service.c,pqc,backend,backend,0.7,high,0,2,2,openssl/evp.h | openssl/provider.h,CERTIFICATE_USAGE,True,review_pqc_certificate_lifecycle,,,high,14.0,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\native-c\openssl_tls_client.c,pqc,backend,backend,0.7,high,0,2,2,openssl/err.h | openssl/ssl.h,CERTIFICATE_USAGE,True,review_pqc_certificate_lifecycle,,,high,14.0,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\native-c\thales_protect_gateway_service.c,pqc,backend,backend,0.9,high,0,11,7,/protectInput | /protectInputAndCallLLM | /revealInput | ThalesProtectGatewayService | pkcs11.h | stdio.h | string.h,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,51.0,Dependency enrichment found 5 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\native-c\vormetric_vpkcs11_sign_verify.c,pqc,backend,backend,0.7,high,0,8,2,pkcs11.h | vormetric_sign_verify,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,37.5,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\node-service\akeyless-jwt-signing-proxy.js,pqc,frontend,frontend,0.7,low,0,8,0,,,False,reference_only_frontend,,,low,2.0,PQC findings in this front-end file look reference-oriented; prioritize related backend or infrastructure owners first.
E:\codex\work\migration\sample_code\backend\node-service\akeyless-secret-gateway.js,pqc,frontend,frontend,0.7,low,0,6,0,,,False,reference_only_frontend,,,low,1.0,PQC findings in this front-end file look reference-oriented; prioritize related backend or infrastructure owners first.
E:\codex\work\migration\sample_code\backend\node-service\claims-service.js,pqc,frontend_with_service_calls,frontend,0.76,low,0,1,3,axios | express | pg,,False,reference_only_frontend,,,low,1.0,PQC findings in this front-end file look reference-oriented; prioritize related backend or infrastructure owners first.
E:\codex\work\migration\sample_code\backend\node-service\customer-service.js,pqc,data_access,backend,0.86,medium,0,1,3,express | kafkajs | pg,,True,review_pqc_dependency_and_kms,,,medium,8.5,
E:\codex\work\migration\sample_code\backend\node-service\hashicorp-vault-transit-client.js,pqc,frontend,frontend,0.7,low,0,3,1,node-vault,KMS_OR_HSM_ASYMMETRIC,False,reference_only_frontend,,,low,1.0,PQC findings in this front-end file look reference-oriented; prioritize related backend or infrastructure owners first. | Dependency enrichment found 1 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\node-service\jwt-auth-service.js,pqc,backend,backend,0.74,high,0,11,3,fs | jsonwebtoken | path,JWT_OR_TOKEN_SIGNING,True,review_pqc_application_signing,,,high,73.0,Dependency enrichment found 1 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\node-service\package.json,pqc,data_access,infrastructure_config,0.62,high,0,9,6,@aws-sdk/client-kms | akeyless-javascript | jose | jsonwebtoken | node-vault | ssh2,JWT_OR_TOKEN_SIGNING | KMS_OR_HSM_ASYMMETRIC | SSH_USAGE,True,review_pqc_application_signing,,,high,56.5,PQC findings include TLS or certificate configuration that may require coordinated PKI and deployment planning. | Dependency enrichment found 6 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\node-service\thales-protect-gateway-service.js,pqc,backend,backend,0.84,high,0,22,9,/protectInput | /protectInputAndCallLLM | /revealInput | ThalesProtectGatewayService | express | jsonwebtoken,JWT_OR_TOKEN_SIGNING | KMS_OR_HSM_ASYMMETRIC,True,review_pqc_application_signing,,,high,113.5,Dependency enrichment found 8 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\php-service\composer.json,pqc,data_access,infrastructure_config,0.62,medium,0,1,2,firebase/php-jwt | phpseclib/phpseclib,,True,review_pqc_application_signing,,,medium,9.0,PQC findings include TLS or certificate configuration that may require coordinated PKI and deployment planning.
E:\codex\work\migration\sample_code\backend\php-service\composer.lock,pqc,data_access,infrastructure_config,0.7,medium,0,1,2,firebase/php-jwt | phpseclib/phpseclib,,True,review_pqc_application_signing,,,medium,9.0,PQC findings include TLS or certificate configuration that may require coordinated PKI and deployment planning.
E:\codex\work\migration\sample_code\backend\php-service\src\AkeylessPhpSigningGateway.php,pqc,backend,backend,0.7,high,0,7,1,Akeyless\Api\Client,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,37.5,Dependency enrichment found 1 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\php-service\src\CipherTrustProtectClient.php,pqc,backend,backend,0.7,high,0,4,1,CipherTrust\Protect\Client,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,24.0,Dependency enrichment found 1 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\php-service\src\HashiCorpVaultTransitBridge.php,pqc,backend,backend,0.7,high,0,4,1,Vault\Transit\Client,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,24.0,Dependency enrichment found 1 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\php-service\src\TokenCertificateGateway.php,pqc,backend,backend,0.7,high,0,8,4,Firebase\JWT\JWT | Firebase\JWT\Key | phpseclib3\Crypt\PublicKeyLoader | phpseclib3\Net\SSH2,CERTIFICATE_USAGE | SSH_USAGE,True,review_pqc_application_signing,,,high,56.0,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\python-fastapi\app\akeyless_certificate_bridge.py,pqc,backend,backend,0.7,high,0,10,2,AkeylessCertificateBridge | akeyless_python,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,54.5,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\python-fastapi\app\akeyless_ssh_cert_issuer.py,pqc,backend,backend,0.7,high,0,7,2,AkeylessSshCertIssuer | akeyless_python,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,37.5,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\python-fastapi\app\hashicorp_vault_transit_client.py,pqc,backend,backend,0.7,high,0,4,2,HashiCorpVaultTransitClient | hvac,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,24.0,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\python-fastapi\app\main.py,pqc,backend_with_data_access,backend,0.95,medium,0,1,3,fastapi | psycopg2 | requests,,True,review_pqc_dependency_and_kms,,,medium,8.5,
E:\codex\work\migration\sample_code\backend\python-fastapi\app\mtls_client.py,pqc,backend,backend,0.7,high,0,6,2,pathlib | ssl,,True,review_pqc_protocol_stack,,,high,36.0,
E:\codex\work\migration\sample_code\backend\python-fastapi\app\openssl_certificate_bridge.py,pqc,backend,backend,0.7,high,0,5,2,OpenSSL | build_openssl_context,CERTIFICATE_USAGE,True,review_pqc_certificate_lifecycle,,,high,31.0,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\python-fastapi\app\protegrity_developer_client.py,pqc,backend,backend,0.9,high,0,8,1,appython,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,42.0,Dependency enrichment found 1 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\python-fastapi\app\sensitive_data_wrapper_gemini_app.py,pqc,backend,backend,0.95,high,0,7,12,__future__ | akeyless | base64 | fastapi | jwt | os | pydantic | re | requests | typing | uuid,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_application_signing,,,high,45.5,Dependency enrichment found 1 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\python-fastapi\app\thales_crdp_direct_client.py,pqc,backend,backend,0.7,high,0,10,6,/v1/protect | /v1/protectbulk | /v1/reveal | /v1/revealbulk | CrdpRestClient | requests,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,51.0,Dependency enrichment found 5 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\python-fastapi\app\thales_ctvl_client.py,pqc,backend,backend,0.7,high,0,8,3,/vts/rest/v2.0/detokenize | /vts/rest/v2.0/tokenize | requests,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,42.0,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\python-fastapi\app\thales_protect_gateway_service.py,pqc,backend,backend,0.95,high,0,27,13,/protectInput | /protectInputAndCallLLM | /revealInput | ThalesProtectGatewayService | authenticateRequest | cryptography | fastapi | protectInput | protectInputAndCallLLM | revealInput,CERTIFICATE_USAGE | KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,132.5,Dependency enrichment found 12 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\python-fastapi\app\voltage_securedata_client.py,pqc,backend,backend,0.8,high,0,21,4,SecureDataPolicy | VoltageSecureDataClient | dataclasses | securedata,CERTIFICATE_USAGE | KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,104.0,Dependency enrichment found 3 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\python-fastapi\requirements.txt,pqc,data_access,docs,0.7,high,0,10,7,PyJWT | akeyless-python | boto3 | cryptography | hvac | paramiko | pyOpenSSL,CERTIFICATE_USAGE | KMS_OR_HSM_ASYMMETRIC | SSH_USAGE,False,reference_only_or_low_priority,,,high,38.5,Dependency enrichment found 6 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\ruby-service\akeyless_ruby_gateway.rb,pqc,backend,backend,0.7,high,0,7,3,AkeylessRubyGateway | api.akeyless.io | net,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,37.5,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\ruby-service\ciphertrust_ruby_gateway.rb,pqc,backend,backend,0.7,high,0,7,5,/api/v1/crypto/encrypt | /api/v1/crypto/sign | /api/v1/vault/keys2/managed-signing-key | CipherTrustRubyGateway | net,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,37.5,Dependency enrichment found 4 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\ruby-service\hashicorp_vault_transit_ruby_service.rb,pqc,backend,backend,0.8,high,0,9,6,/v1/transit/encrypt/customer-signing-key | /v1/transit/sign/customer-signing-key | HashiCorpVaultTransitRubyService | jwt | vault | vault.internal:8200,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_application_signing,,,high,50.0,Dependency enrichment found 5 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\rust-service\src\akeyless_rust_gateway.rs,pqc,backend,backend,0.7,high,0,7,3,AkeylessRustGateway | akeyless_openapi | api.akeyless.io,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,37.5,Dependency enrichment found 3 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\rust-service\src\hashicorp_vault_transit_rust_service.rs,pqc,backend,backend,0.9,high,0,8,5,/v1/transit/encrypt/customer-signing-key | /v1/transit/sign/customer-signing-key | HashiCorpVaultTransitRustService | vault.internal:8200 | vaultrs,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,42.0,Dependency enrichment found 5 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\rust-service\src\main.rs,pqc,backend,backend,0.7,high,0,11,4,jsonwebtoken | openssl | ssh2,CERTIFICATE_USAGE | JWT_OR_TOKEN_SIGNING | SSH_USAGE,True,review_pqc_application_signing,,,high,73.0,Dependency enrichment found 4 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\rust-service\src\managed_crypto_rest_gateway.rs,pqc,backend,backend,0.7,high,0,7,4,/api/v1/crypto/encrypt | /api/v1/crypto/sign | /api/v1/vault/keys2/managed-signing-key | ciphertrust.internal,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,37.5,Dependency enrichment found 4 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\scala-service\build.sbt,pqc,data_access,infrastructure_config,0.62,high,0,5,2,io.jsonwebtoken:jjwt-api | org.bouncycastle:bcpkix-jdk18on,CERTIFICATE_USAGE | CODE_SIGNING | JWT_OR_TOKEN_SIGNING,True,review_pqc_application_signing,,,high,37.5,PQC findings include TLS or certificate configuration that may require coordinated PKI and deployment planning. | Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\scala-service\src\main\scala\AkeylessScalaGateway.scala,pqc,backend,backend,0.7,high,0,8,3,"AkeylessScalaGateway | api.akeyless.io | io.akeyless.client.ApiClient
import io.akeyless.client.Configuration

object AkeylessScalaGateway",KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,42.0,Dependency enrichment found 3 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\scala-service\src\main\scala\HashiCorpVaultTransitService.scala,pqc,backend,backend,0.8,high,0,7,4,"/v1/transit/encrypt/customer-signing-key | /v1/transit/sign/customer-signing-key | HashiCorpVaultTransitService | com.bettercloud.vault.Vault

object HashiCorpVaultTransitService",KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,37.5,Dependency enrichment found 4 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\scala-service\src\main\scala\ThalesCadpScalaSigningService.scala,pqc,backend,backend,0.8,high,0,6,2,"ThalesCadpScalaSigningService | com.ingrian.security.nae.IngrianProvider
import com.ingrian.security.nae.NAEKey
import com.ingrian.security.nae.NAESession

object ThalesCadpScalaSigningService",KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,33.0,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\scala-service\src\main\scala\TokenKeystoreGateway.scala,pqc,backend,backend,0.8,high,0,15,2,"TokenKeystoreGateway | io.jsonwebtoken.Jwts
import io.jsonwebtoken.SignatureAlgorithm
import java.io.FileInputStream
import java.security.KeyStore
import java.security.cert.X509Certificate

object TokenKeystoreGateway",CERTIFICATE_USAGE | JWT_OR_TOKEN_SIGNING,True,review_pqc_application_signing,,,high,94.0,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\customer\CrdpProtectRequest.java,pqc,backend,backend,0.7,medium,0,1,1,CrdpProtectRequest,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,medium,8.5,Dependency enrichment found 1 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\customer\CustomerService.java,pqc,data_access,backend,0.95,medium,0,1,4,java.util.List | org.springframework.jdbc.core.JdbcTemplate | org.springframework.stereotype.Service | org.springframework.web.client.RestTemplate,,True,review_pqc_dependency_and_kms,,,medium,8.5,
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\household\HouseholdProtectionService.java,pqc,backend,backend,0.95,medium,0,1,3,java.util.List | org.springframework.stereotype.Service | org.springframework.web.client.RestTemplate,,True,review_pqc_dependency_and_kms,,,medium,8.5,
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\security\AkeylessCertificateAndSecretService.java,pqc,backend,backend,0.8,high,0,13,5,/api.akeyless.io | AkeylessCertificateAndSecretService | io.akeyless.client.ApiClient | io.akeyless.client.Configuration | io.akeyless.client.api.V2Api,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,67.5,Dependency enrichment found 5 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\security\AkeylessJwtSigningGateway.java,pqc,backend,backend,0.7,high,0,13,4,AkeylessJwtSigningGateway | io.akeyless.client.ApiClient | io.akeyless.client.Configuration | io.akeyless.client.api.V2Api,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_application_signing,,,high,74.0,Dependency enrichment found 4 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\security\AwsAcmPcaCertificateLifecycleService.java,pqc,backend,backend,0.95,high,0,24,8,com.amazonaws.services.acmpca.AWSPCA | com.amazonaws.services.acmpca.AWSPCAClientBuilder | com.amazonaws.services.acmpca.model.GetCertificateRequest | com.amazonaws.services.acmpca.model.IssueCertificateRequest | com.amazonaws.services.certificatemanager.AWSCertificateManager | com.amazonaws.services.certificatemanager.AWSCertificateManagerClientBuilder | com.amazonaws.services.certificatemanager.model.DescribeCertificateRequest | com.amazonaws.services.certificatemanager.model.ExportCertificateRequest,CERTIFICATE_USAGE,True,review_pqc_certificate_lifecycle,,,high,126.0,Dependency enrichment found 8 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\security\AwsCloudTrailDigestVerifier.java,pqc,backend,backend,0.95,high,0,9,7,com.amazonaws.services.cloudtrail.AWSCloudTrail | com.amazonaws.services.cloudtrail.AWSCloudTrailClientBuilder | com.amazonaws.services.cloudtrail.model.ListPublicKeysRequest | java.security.PublicKey | java.security.Security | java.security.Signature | org.bouncycastle.jce.provider.BouncyCastleProvider,CERTIFICATE_USAGE | CODE_SIGNING,True,review_pqc_dependency_and_kms,,,high,57.5,Dependency enrichment found 3 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\security\AwsEncryptionSdkKeyringService.java,pqc,backend,backend,0.9,high,0,20,7,com.amazonaws.encryptionsdk.AwsCrypto | com.amazonaws.encryptionsdk.CryptoResult | com.amazonaws.encryptionsdk.kms.KmsMasterKeyProvider | software.amazon.awssdk.services.kms.KmsClient | software.amazon.cryptography.materialproviders.IKeyring | software.amazon.cryptography.materialproviders.MaterialProviders | software.amazon.cryptography.materialproviders.model.CreateAwsKmsKeyringInput,CERTIFICATE_USAGE | KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,99.5,Dependency enrichment found 6 crypto-relevant dependency or source-marker references.
