path,finding_domains,layer,context,classification_confidence,overall_change_likelihood,pii_matches,pqc_findings,dependency_reference_count,dependency_packages,dependency_categories,likely_change_target,recommended_change_action,complexity_rating,complexity_score,pqc_complexity_rating,pqc_complexity_score,notes
E:\codex\work\migration\sample_code\backend\jdbc-only\src\main\java\com\example\billing\BillingRepository.java,pii,data_access,backend,0.95,medium,16,0,0,,,True,review_jdbc_substitution,medium,22.8,,,Data-access markers found. Thales JDBC driver may cover part of the migration with lower application-code impact.
E:\codex\work\migration\sample_code\backend\node-service\claims-service.js,pii,frontend_with_service_calls,frontend,0.76,high,20,0,0,,,False,,high,51.9,,,Likely front-end code. PII references may only drive UI or payload shape; CRDP changes are more likely needed in back-end/data layers.
E:\codex\work\migration\sample_code\backend\node-service\customer-service.js,pii,data_access,backend,0.86,high,18,0,0,,,True,review_jdbc_substitution,high,98.5,,,Data-access markers found. Thales JDBC driver may cover part of the migration with lower application-code impact. | Some PII references are outside direct JDBC/SQL indicators and may still need targeted code review.
E:\codex\work\migration\sample_code\backend\node-service\hashicorp-vault-transit-client.js,pii,frontend,frontend,0.7,low,2,0,0,,,False,,low,1.0,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\python-fastapi\app\main.py,pii,backend_with_data_access,backend,0.95,high,23,0,0,,,True,review_jdbc_substitution,high,125.8,,,Data-access markers found. Thales JDBC driver may cover part of the migration with lower application-code impact. | Some PII references are outside direct JDBC/SQL indicators and may still need targeted code review.
E:\codex\work\migration\sample_code\backend\python-fastapi\app\protegrity_developer_client.py,pii,backend,backend,0.9,low,2,0,0,,,False,,low,5.3,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\python-fastapi\app\sensitive_data_wrapper_gemini_app.py,pii,backend,backend,0.95,high,8,0,0,,,True,review_crdp_rest_change,high,48.0,,,Back-end service appears to orchestrate calls or transformations. CRDP REST integration may require code changes here.
E:\codex\work\migration\sample_code\backend\ruby-service\hashicorp_vault_transit_ruby_service.rb,pii,backend,backend,0.8,low,1,0,0,,,False,,low,2.8,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\customer\CrdpProtectRequest.java,pii,backend,backend,0.7,medium,5,0,0,,,False,,medium,12.7,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\customer\CrdpProtectResponse.java,pii,backend,backend,0.7,low,4,0,0,,,False,,low,10.2,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\customer\CustomerAliasFields.java,pii,backend,backend,0.7,medium,7,0,0,,,False,,medium,17.8,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\customer\CustomerDataStore.java,pii,data_access,backend,0.95,high,38,0,0,,,True,review_data_access_change,high,207.2,,,Data-access markers found. Thales JDBC driver may cover part of the migration with lower application-code impact. | Some PII references are outside direct JDBC/SQL indicators and may still need targeted code review.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\customer\CustomerProfile.java,pii,backend,backend,0.7,medium,8,0,0,,,False,,medium,20.3,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\customer\CustomerService.java,pii,data_access,backend,0.95,high,35,0,0,,,True,review_jdbc_substitution,high,127.3,,,Data-access markers found. Thales JDBC driver may cover part of the migration with lower application-code impact. | Some PII references are outside direct JDBC/SQL indicators and may still need targeted code review.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\customer\ProtectCustomerRequest.java,pii,backend,backend,0.7,medium,5,0,0,,,False,,medium,12.7,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\household\HouseholdController.java,pii,backend,backend,0.95,high,6,0,0,,,True,review_crdp_rest_change,high,24.9,,,Back-end logic contains PII references but limited data-access indicators. Manual review needed to confirm CRDP touchpoints.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\household\HouseholdMemberProfile.java,pii,backend,backend,0.7,medium,5,0,0,,,False,,medium,12.7,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\household\HouseholdProtectionPayload.java,pii,backend,backend,0.7,medium,5,0,0,,,False,,medium,12.7,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\household\HouseholdProtectionRequest.java,pii,backend,backend,0.7,medium,5,0,0,,,False,,medium,12.7,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\household\HouseholdProtectionService.java,pii,backend,backend,0.95,high,18,0,0,,,True,review_crdp_rest_change,high,112.2,,,Back-end service appears to orchestrate calls or transformations. CRDP REST integration may require code changes here.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\household\HouseholdRepository.java,pii,data_access,backend,0.95,high,31,0,0,,,True,review_jdbc_substitution,high,92.8,,,Data-access markers found. Thales JDBC driver may cover part of the migration with lower application-code impact. | Some PII references are outside direct JDBC/SQL indicators and may still need targeted code review.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\security\ProtegrityApplicationProtectorService.java,pii,backend,backend,0.95,medium,6,0,0,,,False,,medium,15.5,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\security\ThalesCtvlTokenizationService.java,pii,backend,backend,0.95,high,6,0,0,,,True,review_crdp_rest_change,high,44.4,,,Back-end service appears to orchestrate calls or transformations. CRDP REST integration may require code changes here.
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\security\VoltageSecureDataService.java,pii,backend,backend,0.95,low,3,0,0,,,True,review_crdp_rest_change,low,11.4,,,Back-end logic contains PII references but limited data-access indicators. Manual review needed to confirm CRDP touchpoints.
E:\codex\work\migration\sample_code\backend\vector-search\node\customerVectorIndexer.js,pii,frontend,frontend,0.8,high,12,0,0,,,False,,high,26.2,,,Likely front-end code. PII references may only drive UI or payload shape; CRDP changes are more likely needed in back-end/data layers.
E:\codex\work\migration\sample_code\backend\vector-search\python\member_embeddings.py,pii,backend,backend,0.7,high,15,0,0,,,True,review_crdp_rest_change,high,84.7,,,Back-end service appears to orchestrate calls or transformations. CRDP REST integration may require code changes here.
E:\codex\work\migration\sample_code\frontend\angular\src\app\payment-editor.component.ts,pii,frontend,frontend,0.95,high,13,0,0,,,False,,high,30.4,,,Likely front-end code. PII references may only drive UI or payload shape; CRDP changes are more likely needed in back-end/data layers.
E:\codex\work\migration\sample_code\frontend\node-express-ui\claims-api-proxy.js,pii,frontend,frontend,0.86,low,4,0,0,,,False,,low,10.7,,,Likely front-end code. PII references may only drive UI or payload shape; CRDP changes are more likely needed in back-end/data layers.
E:\codex\work\migration\sample_code\frontend\node-express-ui\claims-proxy.js,pii,frontend,frontend,0.86,low,4,0,0,,,False,,low,10.7,,,Likely front-end code. PII references may only drive UI or payload shape; CRDP changes are more likely needed in back-end/data layers.
E:\codex\work\migration\sample_code\frontend\node-express-ui\server.js,pii,frontend,frontend,0.86,high,13,0,0,,,False,,high,33.6,,,Likely front-end code. PII references may only drive UI or payload shape; CRDP changes are more likely needed in back-end/data layers.
E:\codex\work\migration\sample_code\frontend\react\src\components\ClaimReviewScreen.tsx,pii,frontend,frontend,0.95,high,15,0,0,,,False,,high,38.9,,,Likely front-end code. PII references may only drive UI or payload shape; CRDP changes are more likely needed in back-end/data layers.
E:\codex\work\migration\sample_code\frontend\react\src\components\CustomerProfile.tsx,pii,frontend,frontend,0.95,high,23,0,0,,,False,,high,59.0,,,Likely front-end code. PII references may only drive UI or payload shape; CRDP changes are more likely needed in back-end/data layers.
E:\codex\work\migration\sample_code\frontend\react\src\components\HouseholdMemberScreen.tsx,pii,frontend,frontend,0.95,high,18,0,0,,,False,,high,46.4,,,Likely front-end code. PII references may only drive UI or payload shape; CRDP changes are more likely needed in back-end/data layers.
E:\codex\work\migration\sample_code\ops\call_thales_ctvl_tokenize.sh,pii,unknown,batch_integration,0.2,low,2,0,0,,,False,,low,5.2,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\ops\call_thales_wrapper_endpoint.sh,pii,unknown,batch_integration,0.2,low,1,0,0,,,False,,low,2.7,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\README.md,pii,backend_with_data_access,docs,0.95,medium,4,0,0,,,True,review_jdbc_substitution,medium,19.6,,,Data-access markers found. Thales JDBC driver may cover part of the migration with lower application-code impact. | Some PII references are outside direct JDBC/SQL indicators and may still need targeted code review.
