path,finding_domains,context,overall_change_likelihood,likely_change_target,recommended_change_action,pii_likely_change_target,pii_recommended_change_action,pqc_likely_change_target,pqc_recommended_change_action,dependency_reference_count,dependency_packages,dependency_categories,jdbc_candidate_count,code_change_candidate_count,complexity_rating,complexity_score,pqc_complexity_rating,pqc_complexity_score,pqc_vulnerable_algorithms
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\VormetricPkcs11Service.cs,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,2,Net.Pkcs11Interop.HighLevelAPI | VormetricPkcs11Service,CODE_SIGNING | KMS_OR_HSM_ASYMMETRIC,0,0,,,high,48.5,Code-signing dependency | KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\go-service\akeyless_secret_sync_client.go,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,2,fmt | github.com/akeylesslabs/akeyless-go,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,33.0,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\go-service\customer_handler.go,pqc,backend,medium,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,4,bytes | database/sql | encoding/json | net/http,,0,0,,,medium,8.5,KMS/HSM
E:\codex\work\migration\sample_code\backend\go-service\go.mod,pqc,infrastructure_config,high,True,review_pqc_application_signing,False,,True,review_pqc_application_signing,5,cloud.google.com/go/kms/apiv1 | github.com/akeylesslabs/akeyless-go | github.com/golang-jwt/jwt/v5 | github.com/hashicorp/vault/api | golang.org/x/crypto,JWT_OR_TOKEN_SIGNING | KMS_OR_HSM_ASYMMETRIC,0,0,,,high,48.0,JWT asymmetric signing | JWT dependency | KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\go-service\hashicorp_vault_transit_client.go,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,3,context | fmt | github.com/hashicorp/vault/api,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,15.0,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\go-service\ssh_admin_client.go,pqc,backend,high,True,review_pqc_protocol_stack,False,,True,review_pqc_protocol_stack,3,fmt | golang.org/x/crypto/ssh | os,SSH_USAGE,0,0,,,high,45.0,RSA | SSH | SSH dependency
E:\codex\work\migration\sample_code\backend\java-kafka\src\main\java\com\example\events\CustomerEventProcessor.java,pqc,backend,medium,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,7,java.sql.Connection | java.sql.PreparedStatement | javax.sql.DataSource | org.apache.kafka.clients.consumer.ConsumerRecord | org.springframework.kafka.annotation.KafkaListener | org.springframework.stereotype.Component | org.springframework.web.client.RestTemplate,,0,0,,,medium,8.5,KMS/HSM
E:\codex\work\migration\sample_code\backend\native-c\aws_cloudhsm_pkcs11_client.c,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,3,cloudhsm_pkcs11.h | pkcs11.h | sign_with_cloudhsm,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,51.0,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\native-c\ciphertrust_cadp_capi_aes_gcm.c,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,4,cadp_capi.h | encrypt_with_ciphertrust_capi | stdio.h | string.h,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,46.5,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\native-c\ciphertrust_cadp_pkcs11_signer.c,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,3,cadp/cadp.h | ciphertrust_cadp_pkcs11_signer | pkcs11.h,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,51.0,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\native-c\ciphertrust_kmip_aes_gcm_client.c,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,4,kmip.h | register_kmip_key_and_encrypt | stdio.h | string.h,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,33.0,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\native-c\ciphertrust_pkcs11_client.c,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,3,cadp/cadp.h | pkcs11.h | sign_with_ciphertrust_slot,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,46.5,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\native-c\openssl_certificate_reader.c,pqc,backend,high,True,review_pqc_certificate_lifecycle,False,,True,review_pqc_certificate_lifecycle,3,PEM_read_X509 | openssl/pem.h | openssl/x509.h,CERTIFICATE_USAGE,0,0,,,high,36.0,Certificate dependency | X.509/Keystore
E:\codex\work\migration\sample_code\backend\native-c\openssl_signing_service.c,pqc,backend,high,True,review_pqc_certificate_lifecycle,False,,True,review_pqc_certificate_lifecycle,2,openssl/evp.h | openssl/provider.h,CERTIFICATE_USAGE,0,0,,,high,14.0,Certificate dependency
E:\codex\work\migration\sample_code\backend\native-c\openssl_tls_client.c,pqc,backend,high,True,review_pqc_certificate_lifecycle,False,,True,review_pqc_certificate_lifecycle,2,openssl/err.h | openssl/ssl.h,CERTIFICATE_USAGE,0,0,,,high,14.0,Certificate dependency
E:\codex\work\migration\sample_code\backend\native-c\thales_protect_gateway_service.c,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,7,/protectInput | /protectInputAndCallLLM | /revealInput | ThalesProtectGatewayService | pkcs11.h | stdio.h | string.h,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,51.0,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\native-c\vormetric_vpkcs11_sign_verify.c,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,2,pkcs11.h | vormetric_sign_verify,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,37.5,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\node-service\customer-service.js,pqc,backend,medium,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,3,express | kafkajs | pg,,0,0,,,medium,8.5,KMS/HSM
E:\codex\work\migration\sample_code\backend\node-service\jwt-auth-service.js,pqc,backend,high,True,review_pqc_application_signing,False,,True,review_pqc_application_signing,3,fs | jsonwebtoken | path,JWT_OR_TOKEN_SIGNING,0,0,,,high,73.0,JWT asymmetric signing | JWT dependency | RSA | X.509/Keystore
E:\codex\work\migration\sample_code\backend\node-service\package.json,pqc,infrastructure_config,high,True,review_pqc_application_signing,False,,True,review_pqc_application_signing,6,@aws-sdk/client-kms | akeyless-javascript | jose | jsonwebtoken | node-vault | ssh2,JWT_OR_TOKEN_SIGNING | KMS_OR_HSM_ASYMMETRIC | SSH_USAGE,0,0,,,high,56.5,JWT asymmetric signing | JWT dependency | KMS/HSM | KMS/HSM dependency | SSH dependency
E:\codex\work\migration\sample_code\backend\node-service\thales-protect-gateway-service.js,pqc,backend,high,True,review_pqc_application_signing,False,,True,review_pqc_application_signing,9,/protectInput | /protectInputAndCallLLM | /revealInput | ThalesProtectGatewayService | express | jsonwebtoken,JWT_OR_TOKEN_SIGNING | KMS_OR_HSM_ASYMMETRIC,0,0,,,high,113.5,JWT asymmetric signing | JWT dependency | KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\php-service\composer.json,pqc,infrastructure_config,medium,True,review_pqc_application_signing,False,,True,review_pqc_application_signing,2,firebase/php-jwt | phpseclib/phpseclib,,0,0,,,medium,9.0,JWT asymmetric signing
E:\codex\work\migration\sample_code\backend\php-service\composer.lock,pqc,infrastructure_config,medium,True,review_pqc_application_signing,False,,True,review_pqc_application_signing,2,firebase/php-jwt | phpseclib/phpseclib,,0,0,,,medium,9.0,JWT asymmetric signing
E:\codex\work\migration\sample_code\backend\php-service\src\AkeylessPhpSigningGateway.php,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,1,Akeyless\Api\Client,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,37.5,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\php-service\src\CipherTrustProtectClient.php,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,1,CipherTrust\Protect\Client,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,24.0,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\php-service\src\HashiCorpVaultTransitBridge.php,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,1,Vault\Transit\Client,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,24.0,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\php-service\src\TokenCertificateGateway.php,pqc,backend,high,True,review_pqc_application_signing,False,,True,review_pqc_application_signing,4,Firebase\JWT\JWT | Firebase\JWT\Key | phpseclib3\Crypt\PublicKeyLoader | phpseclib3\Net\SSH2,CERTIFICATE_USAGE | SSH_USAGE,0,0,,,high,56.0,Certificate dependency | JWT asymmetric signing | SSH | SSH dependency | X.509/Keystore
E:\codex\work\migration\sample_code\backend\python-fastapi\app\akeyless_certificate_bridge.py,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,2,AkeylessCertificateBridge | akeyless_python,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,54.5,KMS/HSM | KMS/HSM dependency | X.509/Keystore
E:\codex\work\migration\sample_code\backend\python-fastapi\app\akeyless_ssh_cert_issuer.py,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,2,AkeylessSshCertIssuer | akeyless_python,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,37.5,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\python-fastapi\app\hashicorp_vault_transit_client.py,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,2,HashiCorpVaultTransitClient | hvac,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,24.0,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\python-fastapi\app\main.py,pqc,backend,medium,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,3,fastapi | psycopg2 | requests,,0,0,,,medium,8.5,KMS/HSM
E:\codex\work\migration\sample_code\backend\python-fastapi\app\mtls_client.py,pqc,backend,high,True,review_pqc_protocol_stack,False,,True,review_pqc_protocol_stack,2,pathlib | ssl,,0,0,,,high,36.0,TLS/mTLS | X.509/Keystore
E:\codex\work\migration\sample_code\backend\python-fastapi\app\openssl_certificate_bridge.py,pqc,backend,high,True,review_pqc_certificate_lifecycle,False,,True,review_pqc_certificate_lifecycle,2,OpenSSL | build_openssl_context,CERTIFICATE_USAGE,0,0,,,high,31.0,Certificate dependency | X.509/Keystore
E:\codex\work\migration\sample_code\backend\python-fastapi\app\protegrity_developer_client.py,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,1,appython,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,42.0,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\python-fastapi\app\sensitive_data_wrapper_gemini_app.py,pqc,backend,high,True,review_pqc_application_signing,False,,True,review_pqc_application_signing,12,__future__ | akeyless | base64 | fastapi | jwt | os | pydantic | re | requests | typing | uuid,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,45.5,JWT asymmetric signing | KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\python-fastapi\app\thales_crdp_direct_client.py,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,6,/v1/protect | /v1/protectbulk | /v1/reveal | /v1/revealbulk | CrdpRestClient | requests,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,51.0,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\python-fastapi\app\thales_ctvl_client.py,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,3,/vts/rest/v2.0/detokenize | /vts/rest/v2.0/tokenize | requests,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,42.0,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\python-fastapi\app\thales_protect_gateway_service.py,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,13,/protectInput | /protectInputAndCallLLM | /revealInput | ThalesProtectGatewayService | authenticateRequest | cryptography | fastapi | protectInput | protectInputAndCallLLM | revealInput,CERTIFICATE_USAGE | KMS_OR_HSM_ASYMMETRIC,0,0,,,high,132.5,Certificate dependency | KMS/HSM | KMS/HSM dependency | X.509/Keystore
E:\codex\work\migration\sample_code\backend\python-fastapi\app\voltage_securedata_client.py,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,4,SecureDataPolicy | VoltageSecureDataClient | dataclasses | securedata,CERTIFICATE_USAGE | KMS_OR_HSM_ASYMMETRIC,0,0,,,high,104.0,Certificate dependency | KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\ruby-service\akeyless_ruby_gateway.rb,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,3,AkeylessRubyGateway | api.akeyless.io | net,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,37.5,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\ruby-service\ciphertrust_ruby_gateway.rb,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,5,/api/v1/crypto/encrypt | /api/v1/crypto/sign | /api/v1/vault/keys2/managed-signing-key | CipherTrustRubyGateway | net,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,37.5,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\ruby-service\hashicorp_vault_transit_ruby_service.rb,pqc,backend,high,True,review_pqc_application_signing,False,,True,review_pqc_application_signing,6,/v1/transit/encrypt/customer-signing-key | /v1/transit/sign/customer-signing-key | HashiCorpVaultTransitRubyService | jwt | vault | vault.internal:8200,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,50.0,JWT asymmetric signing | KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\rust-service\src\akeyless_rust_gateway.rs,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,3,AkeylessRustGateway | akeyless_openapi | api.akeyless.io,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,37.5,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\rust-service\src\hashicorp_vault_transit_rust_service.rs,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,5,/v1/transit/encrypt/customer-signing-key | /v1/transit/sign/customer-signing-key | HashiCorpVaultTransitRustService | vault.internal:8200 | vaultrs,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,42.0,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\rust-service\src\main.rs,pqc,backend,high,True,review_pqc_application_signing,False,,True,review_pqc_application_signing,4,jsonwebtoken | openssl | ssh2,CERTIFICATE_USAGE | JWT_OR_TOKEN_SIGNING | SSH_USAGE,0,0,,,high,73.0,Certificate dependency | JWT asymmetric signing | JWT dependency | SSH dependency | X.509/Keystore
E:\codex\work\migration\sample_code\backend\rust-service\src\managed_crypto_rest_gateway.rs,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,4,/api/v1/crypto/encrypt | /api/v1/crypto/sign | /api/v1/vault/keys2/managed-signing-key | ciphertrust.internal,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,37.5,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\scala-service\build.sbt,pqc,infrastructure_config,high,True,review_pqc_application_signing,False,,True,review_pqc_application_signing,2,io.jsonwebtoken:jjwt-api | org.bouncycastle:bcpkix-jdk18on,CERTIFICATE_USAGE | CODE_SIGNING | JWT_OR_TOKEN_SIGNING,0,0,,,high,37.5,Certificate dependency | Code-signing dependency | JWT asymmetric signing | JWT dependency | X.509/Keystore
E:\codex\work\migration\sample_code\backend\scala-service\src\main\scala\AkeylessScalaGateway.scala,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,3,"AkeylessScalaGateway | api.akeyless.io | io.akeyless.client.ApiClient
import io.akeyless.client.Configuration

object AkeylessScalaGateway",KMS_OR_HSM_ASYMMETRIC,0,0,,,high,42.0,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\scala-service\src\main\scala\HashiCorpVaultTransitService.scala,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,4,"/v1/transit/encrypt/customer-signing-key | /v1/transit/sign/customer-signing-key | HashiCorpVaultTransitService | com.bettercloud.vault.Vault

object HashiCorpVaultTransitService",KMS_OR_HSM_ASYMMETRIC,0,0,,,high,37.5,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\scala-service\src\main\scala\ThalesCadpScalaSigningService.scala,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,2,"ThalesCadpScalaSigningService | com.ingrian.security.nae.IngrianProvider
import com.ingrian.security.nae.NAEKey
import com.ingrian.security.nae.NAESession

object ThalesCadpScalaSigningService",KMS_OR_HSM_ASYMMETRIC,0,0,,,high,33.0,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\scala-service\src\main\scala\TokenKeystoreGateway.scala,pqc,backend,high,True,review_pqc_application_signing,False,,True,review_pqc_application_signing,2,"TokenKeystoreGateway | io.jsonwebtoken.Jwts
import io.jsonwebtoken.SignatureAlgorithm
import java.io.FileInputStream
import java.security.KeyStore
import java.security.cert.X509Certificate

object TokenKeystoreGateway",CERTIFICATE_USAGE | JWT_OR_TOKEN_SIGNING,0,0,,,high,94.0,Certificate dependency | JWT asymmetric signing | JWT dependency | RSA | X.509/Keystore
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\customer\CrdpProtectRequest.java,pqc,backend,medium,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,1,CrdpProtectRequest,KMS_OR_HSM_ASYMMETRIC,0,0,,,medium,8.5,KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\customer\CustomerService.java,pqc,backend,medium,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,4,java.util.List | org.springframework.jdbc.core.JdbcTemplate | org.springframework.stereotype.Service | org.springframework.web.client.RestTemplate,,0,0,,,medium,8.5,KMS/HSM
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\household\HouseholdProtectionService.java,pqc,backend,medium,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,3,java.util.List | org.springframework.stereotype.Service | org.springframework.web.client.RestTemplate,,0,0,,,medium,8.5,KMS/HSM
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\security\AkeylessCertificateAndSecretService.java,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,5,/api.akeyless.io | AkeylessCertificateAndSecretService | io.akeyless.client.ApiClient | io.akeyless.client.Configuration | io.akeyless.client.api.V2Api,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,67.5,KMS/HSM | KMS/HSM dependency | X.509/Keystore
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\security\AkeylessJwtSigningGateway.java,pqc,backend,high,True,review_pqc_application_signing,False,,True,review_pqc_application_signing,4,AkeylessJwtSigningGateway | io.akeyless.client.ApiClient | io.akeyless.client.Configuration | io.akeyless.client.api.V2Api,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,74.0,JWT asymmetric signing | KMS/HSM | KMS/HSM dependency | RSA
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\security\AwsAcmPcaCertificateLifecycleService.java,pqc,backend,high,True,review_pqc_certificate_lifecycle,False,,True,review_pqc_certificate_lifecycle,8,com.amazonaws.services.acmpca.AWSPCA | com.amazonaws.services.acmpca.AWSPCAClientBuilder | com.amazonaws.services.acmpca.model.GetCertificateRequest | com.amazonaws.services.acmpca.model.IssueCertificateRequest | com.amazonaws.services.certificatemanager.AWSCertificateManager | com.amazonaws.services.certificatemanager.AWSCertificateManagerClientBuilder | com.amazonaws.services.certificatemanager.model.DescribeCertificateRequest | com.amazonaws.services.certificatemanager.model.ExportCertificateRequest,CERTIFICATE_USAGE,0,0,,,high,126.0,Certificate dependency | X.509/Keystore
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\security\AwsCloudTrailDigestVerifier.java,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,7,com.amazonaws.services.cloudtrail.AWSCloudTrail | com.amazonaws.services.cloudtrail.AWSCloudTrailClientBuilder | com.amazonaws.services.cloudtrail.model.ListPublicKeysRequest | java.security.PublicKey | java.security.Security | java.security.Signature | org.bouncycastle.jce.provider.BouncyCastleProvider,CERTIFICATE_USAGE | CODE_SIGNING,0,0,,,high,57.5,Certificate dependency | Code-signing dependency | KMS/HSM | RSA | X.509/Keystore
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\security\AwsEncryptionSdkKeyringService.java,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,7,com.amazonaws.encryptionsdk.AwsCrypto | com.amazonaws.encryptionsdk.CryptoResult | com.amazonaws.encryptionsdk.kms.KmsMasterKeyProvider | software.amazon.awssdk.services.kms.KmsClient | software.amazon.cryptography.materialproviders.IKeyring | software.amazon.cryptography.materialproviders.MaterialProviders | software.amazon.cryptography.materialproviders.model.CreateAwsKmsKeyringInput,CERTIFICATE_USAGE | KMS_OR_HSM_ASYMMETRIC,0,0,,,high,99.5,Certificate dependency | KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\security\AwsS3AsymmetricEncryptionClient.java,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,7,com.amazonaws.services.s3.AmazonS3Encryption | com.amazonaws.services.s3.AmazonS3EncryptionClientBuilder | com.amazonaws.services.s3.model.EncryptionMaterials | com.amazonaws.services.s3.model.StaticEncryptionMaterialsProvider | java.security.KeyPair | java.security.KeyPairGenerator | java.security.spec.X509EncodedKeySpec,CERTIFICATE_USAGE | KMS_OR_HSM_ASYMMETRIC,0,0,,,high,89.0,Certificate dependency | KMS/HSM | KMS/HSM dependency | RSA | X.509/Keystore
